Fuel Loadings = tons / acre

Macroplot,MonStatusOrd,MonStatus,OneHr,TenHr,HunHr,FineWood,>3_Snd,>3_Rot,3_<6_DC1,6_<9_DC1,9_<12_DC1,12_<20_DC1,>20_DC1,3_<6_DC2,6_<9_DC2,9_<12_DC2,12_<20_DC2,>20_DC2,3_<6_DC3,6_<9_DC3,9_<12_DC3,12_<20_DC3,>20_DC3,3_<6_DC4,6_<9_DC4,9_<12_DC4,12_<20_DC4,>20_DC4,3_<6_DC5,6_<9_DC5,9_<12_DC5,12_<20_DC5,>20_DC5,3_<6_Snd,6_<12_Snd,12_<20_Snd,20_<35_Snd,35_<50_Snd,50>_Snd,3_<6_Rot,6_<12_Rot,12_<20_Rot,20_<35_Rot,35_<50_Rot,50>_Rot,TotalWood,Duff,Litter,TotalAll,DuffDep,LittDep,TotDep,FuelBedDep
"NORTHEAST-007",25,"03YR05",0.81099036037417,0.913035505057012,2.42212417719853,4.14615004262972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14615004262972,3.693525,2.495625,10.3353000426297,0.37,0.5,0.87,0
"NORTHEAST-009",15,"02YR05",0.764046730753068,4.87438201297211,4.84908245235115,10.4875111960763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4875111960763,2.7951,3.094575,16.3771861960763,0.28,0.62,0.9,0
"NORTHEAST-009",25,"03YR05",0.877430759181919,2.44264890454979,8.50489778617032,11.824977449902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.824977449902,0.59895,2.295975,14.719902449902,0.06,0.46,0.52,0
"NORTHEAST-010",15,"02YR05",0.892630452962859,0.915220674927624,2.42792105228781,4.2357721801783,1.07990640109454,0,0,0,0,0,0,0,0,0,0,0,1.07990640109454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07990640109454,0,0,0,0,0,0,0,0,0,0,0,5.31567858127284,11.280225,5.1409875,21.7368910812728,1.13,1.03,2.16,0
"NORTHEAST-010",25,"03YR05",0.365905034285679,0.304481874196836,2.42321214758728,3.09359905606979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09359905606979,7.886175,2.7451875,13.7249615560698,0.79,0.55,1.34,0
"NORTHEAST-011",0,"00PRE",0.175207408641524,2.43876898723181,4.8522220334197,7.46619842929304,15.4416038624141,9.13642230705951,0,0,0,0,0,0,0,0,0,0,3.53695061266396,11.9046532497502,0,0,0,1.41772070281958,0,7.71870160423993,0,0,0,0,0,0,0,3.53695061266396,11.9046532497502,0,0,0,0,1.41772070281958,7.71870160423993,0,0,0,0,32.0442245987667,5.889675,4.492125,42.4260245987667,0.59,0.9,1.49,0
"NORTHEAST-011",5,"01YR05",0.287159157550446,0.91599333920617,3.64495619407299,4.84810869082961,11.728185327293,0,0,0,0,0,0,0,0,0,0,0,0,0,11.728185327293,0,0,0,0,0,0,0,0,0,0,0,0,0,11.728185327293,0,0,0,0,0,0,0,0,0,0,16.5762940181226,2.3958,3.294225,22.2663190181226,0.24,0.66,0.9,0
"NORTHEAST-012",0,"00PRE",0.493766333444296,0,1.21305550835493,1.70682184179922,0,13.4588952054339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94745884388663,10.5114363615472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94745884388663,10.5114363615472,0,0,0,0,15.1657170472331,8.3853,3.094575,26.6455920472331,0.84,0.62,1.46,0
"NORTHEAST-012",5,"01YR05",0.335334579333244,1.83371226920166,0,2.1690468485349,0,5.04864667313574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89789247937704,3.1507541937587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89789247937704,3.1507541937587,0,0,0,0,7.21769352167065,11.77935,2.7451875,21.7422310216706,1.18,0.55,1.73,0
"NORTHEAST-013",0,"00PRE",0.0796397312006929,1.21938449361591,1.21305550835493,2.51207973317153,2.33369663015569,0,0,0,0,0,0,0,0,0,0,0,2.33369663015569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33369663015569,0,0,0,0,0,0,0,0,0,0,0,4.84577636332721,6.288975,4.891425,16.0261763633272,0.63,0.98,1.61,0
